X,state,date,fips,cases,deaths,isstayhome,counts,percent.change,log,percent.change.offset
9,Alabama,3/21/2020,1,131,0,0,26,-0.5,1.414973348,-0.063636364
10,Alabama,3/22/2020,1,157,0,0,39,-0.179487179,1.591064607,0.555555556
11,Alabama,3/23/2020,1,196,0,0,46,-2.130434783,1.662757832,-1.057692308
12,Alabama,3/24/2020,1,242,0,0,144,-0.055555556,2.158362492,-0.53271028
13,Alabama,3/25/2020,1,386,1,0,152,0.335526316,2.181843588,-0.615853659
14,Alabama,3/26/2020,1,538,3,0,101,0.198019802,2.004321374,0.633962264
15,Alabama,3/27/2020,1,639,4,0,81,-0.358024691,1.908485019,-1.144329897
16,Alabama,3/28/2020,1,720,4,0,110,-0.063636364,2.041392685,0.206730769
17,Alabama,3/29/2020,1,830,5,0,117,0.555555556,2.068185862,-0.163636364
18,Alabama,3/30/2020,1,947,11,0,52,-1.057692308,1.716003344,-0.567708333
19,Alabama,3/31/2020,1,999,13,0,107,-0.53271028,2.029383778,-0.129568106
20,Alabama,4/1/2020,1,1106,28,0,164,-0.615853659,2.214843848,0.5
21,Alabama,4/2/2020,1,1270,32,0,265,0.633962264,2.423245874,-0.494117647
22,Alabama,4/3/2020,1,1535,38,0,97,-1.144329897,1.986771734,-0.263779528
23,Alabama,4/4/2020,1,1632,44,1,208,0.206730769,2.318063335,0.308411215
24,Alabama,4/5/2020,1,1840,45,1,165,-0.163636364,2.217483944,0.333333333
25,Alabama,4/6/2020,1,2005,53,1,192,-0.567708333,2.283301229,-0.945945946
26,Alabama,4/7/2020,1,2197,64,1,301,-0.129568106,2.478566496,0.434027778
27,Alabama,4/8/2020,1,2498,67,1,340,0.5,2.531478917,-0.030674847
28,Alabama,4/9/2020,1,2838,78,1,170,-0.494117647,2.230448921,0.101190476
29,Alabama,4/10/2020,1,3008,80,1,254,-0.263779528,2.404833717,-0.19205298
30,Alabama,4/11/2020,1,3262,93,1,321,0.308411215,2.506505032,0.027777778
31,Alabama,4/12/2020,1,3583,93,1,222,0.333333333,2.346352974,-0.422857143
32,Alabama,4/13/2020,1,3805,104,1,148,-0.945945946,2.170261715,-0.136546185
33,Alabama,4/14/2020,1,3953,114,1,288,0.434027778,2.459392488,0.215547703
34,Alabama,4/15/2020,1,4241,123,1,163,-0.030674847,2.212187604,0.126126126
35,Alabama,4/16/2020,1,4404,137,1,168,0.101190476,2.225309282,0.036082474
